Year,Fuel Group Hierarchy - Fuel Group,Primary Energy
2005,Oil,9595
2006,Oil,9309
2008,Oil,9205
2007,Oil,9085
2004,Oil,8934
2002,Oil,8638
2001,Oil,8608
2003,Oil,8323
1999,Oil,8221
2000,Oil,8168
2009,Oil,8002
2010,Oil,7622
2019,Oil,7419
2018,Oil,7386
1998,Oil,7285
2016,Oil,7210
2022,Oil,7140
2017,Oil,7101
2011,Oil,7082
2015,Oil,6861
2021,Oil,6718
1997,Oil,6597
2013,Oil,6568
2012,Oil,6502
2014,Oil,6440
2020,Oil,6230
1996,Oil,5970
1994,Oil,5683
1995,Oil,5652
1993,Oil,5115
1992,Oil,5106
1991,Oil,4929
2010,Natural Gas,4712
1990,Oil,4625
2019,Natural Gas,4571
2020,Natural Gas,4564
2008,Natural Gas,4524
2018,Natural Gas,4480
2022,Natural Gas,4471
2021,Natural Gas,4384
2017,Natural Gas,4315
2009,Natural Gas,4295
2007,Natural Gas,4255
2016,Natural Gas,4251
2011,Natural Gas,4147
2012,Natural Gas,4041
2006,Natural Gas,3969
2013,Natural Gas,3863
2015,Natural Gas,3769
2014,Natural Gas,3731
2002,Natural Gas,3686
2003,Natural Gas,3659
2004,Natural Gas,3653
2001,Natural Gas,3591
2005,Natural Gas,3503
2000,Natural Gas,3443
1999,Natural Gas,3003
1998,Natural Gas,2808
1997,Natural Gas,2777
1996,Natural Gas,2657
1995,Natural Gas,2339
1994,Natural Gas,2198
1993,Natural Gas,2161
1990,Coal,2085
1991,Coal,2044
1991,Natural Gas,1923
1996,Coal,1917
1992,Natural Gas,1902
2005,Coal,1882
2001,Coal,1877
1990,Natural Gas,1877
1992,Coal,1876
1998,Coal,1866
2022,Renewables,1863
1993,Coal,1856
2000,Coal,1813
2020,Renewables,1800
1997,Coal,1800
2004,Coal,1799
1995,Coal,1777
2002,Coal,1747
2003,Coal,1745
1994,Coal,1733
2021,Renewables,1648
2019,Renewables,1646
2006,Coal,1631
2007,Coal,1599
1999,Coal,1588
2012,Coal,1485
2018,Renewables,1482
2015,Coal,1466
2016,Coal,1450
2008,Coal,1410
1990,Peat,1377
2017,Renewables,1339
2013,Coal,1306
1992,Peat,1287
1991,Peat,1276
2014,Coal,1249
2010,Coal,1233
2011,Coal,1224
1993,Peat,1218
1994,Peat,1208
1995,Peat,1184
2017,Coal,1146
2009,Coal,1143
2015,Renewables,1137
2016,Renewables,1136
1996,Peat,1060
1997,Peat,1037
2014,Renewables,1004
1998,Peat,989
2021,Coal,914
2013,Renewables,888
2002,Peat,887
2008,Peat,872
1999,Peat,869
2009,Peat,864
2001,Peat,863
2011,Renewables,826
2012,Renewables,822
2003,Peat,805
2000,Peat,803
2005,Peat,791
2012,Peat,790
2018,Coal,787
2014,Peat,777
2015,Peat,767
2010,Peat,765
2006,Peat,759
2007,Peat,750
2013,Peat,742
2016,Peat,734
2022,Coal,727
2011,Peat,724
2017,Peat,695
2018,Peat,686
2010,Renewables,678
2009,Renewables,677
2019,Peat,629
2008,Renewables,588
2004,Peat,583
2007,Renewables,488
2020,Coal,447
2006,Renewables,430
2020,Peat,418
2019,Coal,387
2005,Renewables,370
2004,Renewables,284
2021,Peat,265
2002,Renewables,261
2003,Renewables,236
2000,Renewables,235
2001,Renewables,234
1998,Renewables,231
2022,Peat,223
1999,Renewables,222
2013,Electricity,193
2014,Electricity,185
1997,Renewables,181
2005,Electricity,176
1994,Renewables,174
1996,Renewables,169
1991,Renewables,168
1990,Renewables,168
1992,Renewables,162
1993,Renewables,161
1995,Renewables,155
2006,Electricity,153
2022,Non-Renewable Waste,148
2020,Non-Renewable Waste,147
2018,Non-Renewable Waste,145
2019,Non-Renewable Waste,145
2021,Non-Renewable Waste,143
2021,Electricity,137
2004,Electricity,135
2007,Electricity,114
2017,Non-Renewable Waste,113
2003,Electricity,100
2015,Non-Renewable Waste,69
2016,Non-Renewable Waste,67
2014,Non-Renewable Waste,66
2009,Electricity,66
2013,Non-Renewable Waste,61
2015,Electricity,58
2019,Electricity,55
2012,Non-Renewable Waste,46
2002,Electricity,43
2011,Electricity,42
2010,Electricity,40
2008,Electricity,39
2012,Electricity,36
2022,Electricity,22
1999,Electricity,21
2011,Non-Renewable Waste,14
2009,Non-Renewable Waste,13
2010,Non-Renewable Waste,9
2000,Electricity,8
1998,Electricity,7
1990,Electricity,0
1990,Non-Renewable Waste,0
1991,Electricity,0
1991,Non-Renewable Waste,0
1992,Electricity,0
1992,Non-Renewable Waste,0
1993,Electricity,0
1993,Non-Renewable Waste,0
1994,Electricity,0
1994,Non-Renewable Waste,0
1995,Non-Renewable Waste,0
1996,Non-Renewable Waste,0
1997,Non-Renewable Waste,0
1998,Non-Renewable Waste,0
1999,Non-Renewable Waste,0
2000,Non-Renewable Waste,0
2001,Non-Renewable Waste,0
2002,Non-Renewable Waste,0
2003,Non-Renewable Waste,0
2004,Non-Renewable Waste,0
2005,Non-Renewable Waste,0
2006,Non-Renewable Waste,0
2007,Non-Renewable Waste,0
2008,Non-Renewable Waste,0
1997,Electricity,-1
1995,Electricity,-1
2018,Electricity,-2
1996,Electricity,-11
2020,Electricity,-13
2001,Electricity,-22
2017,Electricity,-58
2016,Electricity,-61